trip,lon,lat,step_speed,step_direction
P1108_21_SV_T2,-77.269026,-11.769382,15.149946097903845,-0.000157877364927117
P1108_21_SV_T2,-77.27046700000002,-11.768395,12.776458729147867,-25.959292581097998
P1108_21_SV_T2,-77.271908,-11.767408,12.77648951303602,-9.657367507998059e-05
P1108_21_SV_T2,-77.273106,-11.7658665,14.37369596428716,17.75649639028302
P1108_21_SV_T2,-77.274304,-11.764325,14.373725496229858,-0.00015470749229962166
P1108_21_SV_T2,-77.27539949999998,-11.7625625,15.310370218881896,5.944509583319303
P1108_21_SV_T2,-77.276495,-11.7608,15.310396719693472,-0.00016296154126393958
P1108_21_SV_T2,-77.27750900000002,-11.75895,15.580165686759484,3.1027743023527137
P1108_21_SV_T2,-77.27852299999998,-11.7571,15.580189098555277,-0.00016043005712162994
P1108_21_SV_T2,-77.27978246428572,-11.755376071428573,15.728516475268355,-7.356055638584793
P1108_21_SV_T2,-77.2810095483871,-11.753641548387098,15.657432407077813,0.8674195914508687
P1108_21_SV_T2,-77.28202616129032,-11.751838161290324,15.285500721439359,5.81238525472213
P1108_21_SV_T2,-77.28304190000001,-11.750039733333333,15.250240498944144,-0.04607567788167444
P1108_21_SV_T2,-77.2840454,-11.748310733333332,14.757359005768604,-0.6660215840097976
P1108_21_SV_T2,-77.28505743333334,-11.746573099999999,14.843729828113116,-0.08604521128216902
P1108_21_SV_T2,-77.28618893333334,-11.7447146,16.055851034683325,-1.1054550082508283
P1108_21_SV_T2,-77.2873300625,-11.7428680625,16.015795630491162,-0.3777626477693161
P1108_21_SV_T2,-77.288606,-11.741189,15.530351355109394,-5.473657161308439
P1108_21_SV_T2,-77.2898819375,-11.7395099375,15.53038505959549,-0.00016710902758632076
P1108_21_SV_T2,-77.29101989655173,-11.738211862068965,12.694484092708548,-3.990268160691187
P1108_21_SV_T2,-77.292148,-11.736941,12.494870018477936,-0.35409855684247304
P1108_21_SV_T2,-77.2934735,-11.7356535,13.565929468876364,-4.233938297083172
